フォトコン名,開始日,終了日,参加方法,主催者,元ポストのURL
第八回VRC感情の解釈フォトコン（テーマ: 安心感）,2025/12/8,2025/12/22,"#第八回VRC感情の解釈フォトコン を付けてX投稿（詳細DMまたは主催確認）",@46nekoVRC (しろねこ),https://x.com/46nekoVRC/status/1997833506366316700
VRC Photo SPOTLIGHT（テーマ: 冬、次世代フォトグラファー対象・受賞歴なし）,2025/11/28,2025/12/12 (23:59),"#VRC_Photo_SPOTLIGHT を付けてX投稿（詳細ツリー参照）",@suzuki_vrc (すずきちゃそ),https://x.com/suzuki_vrc/status/1994345550536482986
第3回 YOYOGIMORIアバターフォトコンテスト（テーマ: Emotions of YOYOGIMORI Avatar～其々の心情～）,2025/11/15,2025/12/14,"#YMアバターフォトコン3rd でX投稿 + Googleフォーム提出（YOYOGIMORIアバター限定、サンプルOK）",@Fancafe_Kittens,https://x.com/Fancafe_Kittens/status/1990804960586649788
ビナアちゃんフォトコンテスト-冬-（テーマ: 冬、写真/イラスト部門）,2025/12/15,2026/1/15,"#ビナアちゃんフォトコン冬 でX投稿（複数投稿可、NSFW禁止）",@amayori_toi / @Photocon_Binah,https://x.com/Photocon_Binah/status/1996414157617578107
文太くんフォトコン（テーマ: The cold Breaker X'mas / 寒さに負けない薄着クリスマス）,2025/12/13 (繰上12/5〜),2025/12/20 (23:59),"審査員3名フォロー + 本ポストいいね/RT + #文太くんフォトコン で引用RT",@GussanVRC777,https://x.com/GussanVRC777/status/1995816364721000496
第2回凪ちゃんフォトコン,2025/11/16,2025/12/10 (23:59),Googleフォーム応募（詳細画像参照）,凪ちゃん集会 / @Itsuki_for_VRC,https://x.com/Itsuki_for_VRC/status/1990185612100731371
ARPノスタルジックウィンター,2025/12/1,2026/1/31,"#ARP_ノスタルジックウィンター でX投稿（詳細Googleドキュメント）",@ArcanaLia__,https://x.com/ArcanaLia__/status/1995451178940084267
マリシアお姉さん存在しない記憶フォトコン,2025/12/1,2025/12/18 (23:59),"#マリシアお姉さん存在しない記憶フォトコン でX投稿",@Akinii_vrc,https://x.com/Akinii_vrc/status/1995327124052533347
第一回ドラ龍フォトコン（テーマ: 冬のドラゴン）,2025/11/15,2025/12/15,詳細画像参照（#ドラ龍フォトコン で投稿？）,@Hiroshisan_ (玉鮫_龍),https://x.com/Hiroshisan_/status/1986558699704623441
もにゅふぉと（もにゅめんつフォトコン）,2025/12/4〜（詳細不明）,不明,"#もにゅふぉと でX投稿（もにゅめんつアバター限定）",@Vino_VRC,https://x.com/Vino_VRC/status/1996551766440333504
