フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
第9回ゆるフォトコン,2026-09-01,2026-09-16,テーマ『思い』。思いがこもった一枚を募集。大賞3枠（うち1枠は交流会での投票）とゆるフォト賞24枠。入賞作品はゆるフォト交流会ワールドに掲示。,#ゆるフォトコン のタグを付けてXにポストするだけ。過去写真・おはツイへのタグ付けも可。複数応募時は最後のポストを参照。,ゆるフォト交流会（@YuruPhoto_ / 主催:駄狐こん @psk_esk）,https://x.com/YuruPhoto_/status/2094350388170473625,AIによる大幅な加筆・画像生成は不可。レタッチ・ギミック・Unity撮影は制限なし。検索除外・シャドウバンで見えない場合あり。当選発表は9/25の交流会ワールド。賞品はBoothギフト2000円分（大賞）。
第三回TMフォトコン,2026-09-01,2026-09-30,テーマ『ENN』（縁・演・園・遠など多様な解釈）。写真グループTMPYによるフォトコン。専用展示ワールドで展示。最優秀賞Booth3000円分、各種モデル賞・ワールドモデラー賞Booth1500円分。,期間内に写真1枚を添付し #第三回TMフォトコン を記載して告知ポストをリポストでエントリー。1人1枚まで。,あきらのVRC垢（@akira_VRC0614）,https://x.com/akira_VRC0614/status/2088778561859801259,VRCデフォルトカメラのみ使用可。レタッチ・画像編集不可。センシティブ表現不可。初めての人でも参加しやすいルール。
5533FC×とってもうさちゃんズフォトコンテスト,2026-09-01,2026-09-21,テーマ「〇〇の秋」（食欲の秋、スポーツの秋、読書の秋などあなただけの秋）。最優秀賞2500円相当Booth、優秀賞1500円、審査員賞1000円×2。,Xに作品を投稿し #5533フォトコン_Fall を付ける。1人1作品。過去作品も可。,Chichiro119（@chichiro119） / 5533FC×とってもうさちゃんズ,https://x.com/chichiro119/status/2094440131742867635,VRChat内撮影。明るさ・色調・トリミング以外の過度な加工、AI生成、他人作品の流用禁止。アバター等の利用規約遵守。他者が写る場合は事前許可。応募確認は主催fav+RP。作品は結果発表・広報に使用される場合あり。
薄暮台フォトコン2026,2026-09-01,2026-09-22,薄暮台高等学校の文化祭企画。テーマ「青春の途中」。期間中何枚でもOK。,#薄暮台フォトコン2026 を付けてXに投稿。,薄暮台高等学校 校長（@ashn_lize）,https://x.com/ashn_lize/status/2094262818895978947,文化祭の一環。生徒自主企画も同時募集（#薄暮台文化祭2026）。終了日は告知画像・関連情報に基づく。
エクちゃん学園フォトコン,2026-09-01,2026-09-23,学園生活を送るエクちゃんをテーマにした写真。優秀賞Boothギフト2000円、審査員賞1000円×3、仲良し賞500円。審査員:@hayanasu_vrc @Amagane_Chi1538 @Rekka_Nicoco,#エクちゃん学園フォトコン を付けてXへ投稿。1人2枚まで。,エクちゃんフォトコン委員会（@Eku3D_Photo）,https://x.com/Eku3D_Photo/status/2094759659303321863,エク素体の改変アバターであること。VRCワールド内撮影。レタッチOK。MMDワールド撮影禁止。NSFW/暴力/性的表現禁止。タグ未記載は無効。仲良し賞は複数人撮影作品対象。
エク 1周年記念 公式フォトコンテスト,2026-09-02,2026-09-28,アバター「エク」1周年記念の公式フォトコン。最優秀賞Boothギフト上限3000円＋試着ワールド展示、sep-neko-ya賞・エクちゃん集会賞各1500円＋展示、入選は展示。参加賞としてエクちゃんカフェセット3Dモデル無償頒布（要Google Form申請）。,期間内に #エク1周年フォトコン をつけてXに投稿。枚数制限なし。参加賞は投稿URLをGoogle Formへ。,septem47（@septem47 / sep-neko-ya）,https://x.com/septem47/status/2095108726042886178,主な被写体としてエク（改変可・サンプル可）が映っていること。撮影方法・レタッチ不問（VRC PC/Mobile/Unity/DCC可）。権利問題のないこと。受賞作品の使用権は主催に帰属（同意後）。規定はNotion優先・変更あり。審査連絡9/29-10/4、発表10/9予定。学園フォトコンとは別企画。
soraフォトコン,2026-09-01,2026-09-30,フォロワー500人記念。テーマ「空」。最優秀賞Amazonギフト1万円、優秀賞2名〜5000円。,#soraフォトコン を付けて告知ポストを引用ポストする。引用忘れ注意。,sora（@sora01063939）,https://x.com/sora01063939/status/2094349480699334961,VRC・Unity撮影可。AI加筆・再生成禁止。性的・暴力・流血・政治・宗教表現禁止。応募者への攻撃的発言は控える。告知は8/31。締切は引用投稿で9/30と案内。
VRC弓道フォトコン2026,2026-09-01,2026-09-20,弓道の日（9/10）に合わせた開催。VRChat内の広義の弓道関連写真。最優秀賞・最多得票賞・優秀賞。表彰作品は弓道場ワールドに掲示。投票期間9/22-9/30、結果10月上旬。,Xに作品タイトル＋#VRC弓道フォトコン2026 を付けて投稿した上で、特設サイトからエントリー登録必須。1人3点まで。,VRC弓道部（@VRCQD）,https://x.com/VRCQD/status/2087049454616760555,X投稿だけでは投票対象にならない。加工は撮影実態を損なわない範囲（色調・トリミング・多重・透過合成OK、イラスト・文字入れ・コラージュ・AI生成NG）。NSFW非推奨。2025作品の再投稿禁止。詳細https://puchiryuuvrc.github.io/QDPhoto2026-Pages/
ミニはんか君フォトコン,2026-08-21,2026-09-20,「斑霞君集合！」ワールド内展示用のミニはんか君（低身長・幼児体型の斑霞君改変）のスクリーンショット募集。人型部門・人外部門。採用3名にBOOTHギフト各500円分。,#ミニはんか君フォトコン を付けてXに投稿（1人1枚）。人外部門希望時は記載。,斑霞君集合！（@vrcki2nedairi）,https://x.com/vrcki2nedairi/status/2090725657240277079,ミニはんか君の耳・尻尾・髪型・衣装があること。AI加工不可。結果10月上旬予定。採用作品はワールド内展示。
VRCメカ少女集会5thフォトコン,2026-08-29,2026-09-18,メカ少女集会5周年記念。カッコかわいいメカ改変の写真。最優秀賞Amazon/BOOTH1万円、優秀賞5千円×2、特別審査員賞多数。,#VRCメカ少女集会5thフォトコン を付けてXに1枚投稿＋Googleフォーム記入。,えるす（@els002） / VRCメカx少女アバター集会,https://x.com/els002/status/2093534118940164140,デフォルトカメラ以外・レタッチ可。2枚以上投稿は対象外。協賛ショップ多数。
VRC風景ポートレートフォトコン,2026/09/02,2026/09/15,テーマ「夏」をテーマにしたVRC作品。最優秀賞:5000円、優秀賞×2:3000円、嫁が独断で選んだで賞:5000円,#VRC風景ポートレートフォトコン をつけてXに投稿のみ,@Oku3VRC,https://x.com/Oku3VRC/status/2094983663238905973,応募枚数3枚まで、AIレタッチ、Unity撮影禁止
