フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
第二回VRC軍装同好会フォトコン,2026-08-13,2026-09-15,お題「突撃」。軍装メイン,@GUNPUKU1940フォロー＋#第二回VRC軍装同好会フォトコン（1人1枚・16:9）,VRC軍装同好会 (@GUNPUKU1940),https://x.com/GUNPUKU1940/status/2087866031050285277,補正可、加筆・合成・AI・Unity撮影不可。本日締切。告知は1カ月境界付近
第9回ゆるフォトコン,2026-09-01,2026-09-16,テーマ『思い』。大賞3／ゆるフォト賞24,#ゆるフォトコンで投稿（過去写真可）,ゆるフォト交流会 (@YuruPhoto_),https://x.com/YuruPhoto_/status/2094350388170473625,AI大幅加筆不可。発表9/25交流会。締切は9/16
VRCメカx少女アバター集会 第二回フォトコンテスト,2026-08-29,2026-09-18,5周年記念。メカ少女改変,#VRCメカ少女集会5thフォトコンで1枚＋Googleフォーム,えるす (@els002),https://x.com/els002/status/2093534118940164140,1投稿1枚のみ。フォーム必須
VRC弓道フォトコンテスト2026,2026-09-01,2026-09-20,弓道関連写真。投票9/22–30,タイトル＋#VRC弓道フォトコン2026でX投稿後、特設サイトでエントリー,VRC弓道部 (@VRCQD),https://x.com/VRCQD/status/2094765732722794874,サイト登録必須。詳細サイトあり
5533FC×とってもうさちゃんズ,2026-09-01,2026-09-21,テーマ「〇〇の秋」。最優秀2500／優秀1500／審査員1000×2（BOOTH）,#5533フォトコン_Fallで投稿（1人1作品）,@chichiro119 × @hot_vrc,https://x.com/chichiro119/status/2094440131742867635,明るさ・色調・トリミング可。AI・描き替え・過度加工不可
エク1周年記念公式フォトコン,2026-09-02,2026-09-28,公式。エク（改変可）が被写体。参加賞あり,#エク1周年フォトコン（枚数制限なし）。参加賞はForm,septem47 / sep-neko-ya,https://x.com/septem47/status/2095108726042886178,撮影・レタッチ不問。受賞作使用権は主催（個別確認）
プラチナフォトコンテスト,2026-08-30,2026-09-29,4部門（サンプル／夏改変／学校／有坂みと）,#プラチナフォトコンテスト＋#部門名,あるけよ (@ALKeYoJP),https://x.com/ALKeYoJP/status/2093987177118183902,プラチナと明確ならキメラ可
第三回TMフォトコン,2026-09-01,2026-09-30,テーマ『ENN』（縁・演・園・遠など）,写真1枚＋#第三回TMフォトコンを付けて告知ポストをリポスト,@akira_VRC0614,https://x.com/akira_VRC0614/status/2088778561859801259,デフォルトカメラのみ。レタッチ不可。1人1枚。センシティブ不可
VSP7周年宇宙フォトコン,2026-09-08,2026-09-30,テーマ「宇宙とわたし」「宇宙でみつけたもの」。バーチャル／リアル部門,タイトル・テーマ・コメント＋#VSP7周年宇宙フォトコン。1人3作品,天文仮想研究所 VSP (@vsp_vrc),https://x.com/vsp_vrc/status/2097296046934376760,レタッチ可。NSFW・AI生成禁止。広報利用の可能性あり
soraフォトコン,2026-09-01,2026-09-30,フォロワー500人記念。テーマ「空」。最優秀Amazon1万／優秀5千,#soraフォトコン＋告知ポストの引用,@sora01063939,https://x.com/sora01063939/status/2094349480699334961,引用必須。AI再生成・過激表現禁止。VRC・Unity可
第2回ALTGARAGE集会フォトコンテスト,2026-09-13,2026-09-30,テーマ「私の好きな○○」。ALTちゃんが被写体,#ALTGARAGE集会フォトコン（5枚まで・1投稿1枚）,スイ VRC (@S_u_i_VRchat),https://x.com/S_u_i_VRchat/status/2099095041864241290,詳細は主催note
Wiege/Kerzeフォトコンテスト,2026-09-01,2026-09-30,お屋敷のメイド・執事とお坊ちゃまお嬢様の日常,#WiegeKerzeフォトコン,Wiege/Kerze (@Wiege_VRC),https://x.com/Wiege_VRC/status/2094545780539297797,Unity等外部撮影不可。AI生成禁止。性的・政治宗教表現禁止
マツケンVRCフォトコンテスト,2026-09-10,2026-10-02,マツケンサンバⅡ衣装・ダンスの写真／映像。抽選5名に3000円クーポン,フォロー＋#マツケンVRC #マツケンVRフォト,TOKYO AVATAR GATE,https://x.com/TOKYOAVATARGATE/status/2097988457461321822,写真または映像
エクちゃん学園フォトコン,2026-09-01,2026-10-18,学園生活のエクちゃん。延長・仲良し賞あり,#エクちゃん学園フォトコン（1人2枚まで）,エクちゃんフォトコン委員会 (@Eku3D_Photo),https://x.com/Eku3D_Photo/status/2094759659303321863,エク素体改変必須。MMD禁止。NSFW禁止。延長後締切10/18
VERMILION_PHOTOGRAPH_CONTEST,2026/09/05,2026/10/10,VERMILIONアバターを撮影したVRC写真を募集　賞などの詳細は主催の固定ポストから,「#VERMILION_PHOTO_CAG」を付けてXに投稿,HoUrO@VRC  ID:@alter_HUO,https://x.com/alter_huo/status/2094630496122884359?s=46&t=jboHUTuCwl2cbCHCbQ9y5Q,元ポストをご確認ください
えんじぇりーとフォトコン,2026/09/13,2026/09/23,『えんじぇりーと』の衣装を着用したフォトを募集。写真は縦でも横でも可,#えんじぇりーとふぉとこん を付けてXに投稿。,えんじぇりーと～Angeleet～@Angeleet_Shop,https://x.com/Angeleet_Shop/status/2098985821231825337?s=20,
ナナセ・ノワールフォトコン2026,2026/09/14,2026/10/10,「ナナセ・ノワールをもっと使って、撮って、楽しもう！」をコンセプトとした、「ナナセ・ノワール」のフォトコンテストです。,#ナナセノワールフォトコン2026 タグを付けてXに投稿,白良（@k_hakura）,https://x.com/k_hakura/status/2099151124695482728,1人1枚まで応募可能。複数枚応募時は、最新日時の写真を応募したものとします。
UOMEフォトコン,2026/09/19,2026/10/10,カメラギミック「UOME Lens」だけを使ったフォトコン。カメラギミックの入ったサンプルアバターでも参加可能。,#UOMEフォトコン　をつけてXに投稿。,@holomomochan,https://x.com/holomomochan/status/2100057098046583201?s=20,応募枚数１枚　#UOME fatdesignの透かしを入れること
